,artist_uri,artist
83,spotify:artist:41FEVJCBGidsJwbjq0KfgM,William Fitzsimmons
84,spotify:artist:3YQNyPeDonpYjB9N92VclR,Abigor
85,spotify:artist:39R87tT1qaTxHwu5m87USa,EXES
86,spotify:artist:46bIDJnKANGCISmg6PWuz5,Klangforum Wien
87,spotify:artist:6SYbLA9utoNsllunR1TnkM,Sodom
88,spotify:artist:6QBN53AVQ0IcbSZrKxqwoB,Sonny Sharrock
89,spotify:artist:4RuYtHjAKBufQRqBUMiOfK,Banco Del Mutuo Soccorso
90,spotify:artist:6VfeYClQyVUCPJdXb9jl3O,Evidence
91,spotify:artist:0cLrgpG3pW4MX4nD8h6qCc,El Michels Affair
92,spotify:artist:0ylwMbxWG8uQUEn739mQtv,Clive Wright
93,spotify:artist:3OsRAKCvk37zwYcnzRf5XF,Moby
94,spotify:artist:4fE4Bf0MM6lMJpHiHniPuW,Damageplan
95,spotify:artist:2FzqIT8JP1gd3Tlo6ix1fT,tofubeats
96,spotify:artist:4d4VL0LIBWkVXAq4YZ07wm,Okada Takuro
97,spotify:artist:7H6sziUg6YjKlef45qOv8h,Graeme Revell
98,spotify:artist:763opp15PhfHpEaiVjM6m7,Jerry Jeff Walker
99,spotify:artist:4e5V1Q2dKCzbLVMQ8qbTn6,Collective Soul
100,spotify:artist:6gkWznnJkdkwRPVcmnrays,Sister Sledge
101,spotify:artist:1Xfmvd48oOhEWkscWyEbh9,Lloyd
102,spotify:artist:5pnbUBPifNnlusY8kTBivi,Jadakiss
103,spotify:artist:7xGGqA85UIWX1GoTVM4itC,The Staple Singers
104,spotify:artist:5dTYaRzOn4rXGBLH052EeQ,A Fine Frenzy
105,spotify:artist:2JlgU4CuIMjsIB8AUZThFo,Indignu
106,spotify:artist:59YfPxuxGghrdPumu6aFKI,Goatwhore
107,spotify:artist:0kEfub5RzlZOB2zGomqVSU,Gil Scott-Heron
108,spotify:artist:0k03iT1wmiddzXpZD2spn7,Swim Mountain
109,spotify:artist:72Q7helEnjOptf8FAoZQTi,The Velvelettes
110,spotify:artist:317yGDHMNsNQMfjsNNPYUg,Francisco el Hombre
111,spotify:artist:6kz7WuPaUa4QVreP27I33i,The Paul Butterfield Blues Band
112,spotify:artist:00fUxTsDQ3TMlro9Abk6bG,Vast Aire
113,spotify:artist:4sD9znwiVFx9cgRPZ42aQ1,Sinéad O'Connor
114,spotify:artist:6i6WlGzQtXtz7GcC5H5st5,10cc
115,spotify:artist:0vUTfcBDZZo2OUQJci5UNZ,Classixx
116,spotify:artist:2zyz0VJqrDXeFDIyrfVXSo,Jerry Lee Lewis
117,spotify:artist:49pQfWTLlSww8C7K7unpUC,Ruff Ryders
118,spotify:artist:1Jl8u1U1GtBlwocZK5LWZv,JJ Grey & Mofro
119,spotify:artist:5esKrGWvWmBAmjnao5jInN,Heart Attack Man
120,spotify:artist:5SXEylV07TC57eanSxxg4R,Stick Figure
121,spotify:artist:55dc4rK8CrUWEneagloaa2,JR Writer
122,spotify:artist:6MxlVTY6PmY8Nyn16fvxtb,Slightly Stoopid
123,spotify:artist:5XqyqoLZXA69lCNyBT3f89,Irreversible Entanglements
124,spotify:artist:2xtXCUTxmekNFB8oIYuOfe,RATKING
125,spotify:artist:6zdwVjGPgGGZ7W5oBcisP2,The Long Winters
126,spotify:artist:39iRwJEhPG25CU7LYdNkQ2,SadGirl
127,spotify:artist:0NdNx5JwLDvas2LsMVTSyQ,George Fenton
128,spotify:artist:6eKzDvHhJgMtcaOrvEXCTv,D.R.I.
129,spotify:artist:1hvPdvTeY6McdTvN4DyKGe,Chlöe Howl
130,spotify:artist:5Hd2TLBA44nP3ftPAC1ZlZ,Swearin'
131,spotify:artist:2DKISYy7EvTDO7eJHBK6yF,I Don't Like Mondays.
132,spotify:artist:1WJ9VGSqU8kh2mVEe422hI,Enabler
133,spotify:artist:3AmWjMXXtBJOmNGpUFSOAl,Gang Of Four
134,spotify:artist:7azp9wRyXcxIq5vZnJgYvt,Dexter Wansel
135,spotify:artist:3AA28KZvwAUcZuOKwyblJQ,Gorillaz
136,spotify:artist:4FtSnMlCVxCswABUmdhwpm,Carly Simon
137,spotify:artist:5GXruybcLmXPjR9rKKFyS6,Jimmy Smith
138,spotify:artist:7Fo8TAyGJr4VmhE68QamMf,Talk Talk
139,spotify:artist:7Kyc0TNCOAnGVLmjlJF8rT,Yotam Perel
140,spotify:artist:615PlJiTuB5O3F424mvtHq,Acid House Kings
141,spotify:artist:49DW3KvkyjHO35mK1JnSyS,The Cult
142,spotify:artist:3bcmxBrkaxMHGP5eCkg6uB,Truly
143,spotify:artist:38h03gA85YYPeDPd9ER9rT,The O'Jays
144,spotify:artist:4WPY0N74T3KUja57xMQTZ3,The Replacements
145,spotify:artist:4hRL2QmahOYxXNmNKtG1AI,Valee
146,spotify:artist:776Uo845nYHJpNaStv1Ds4,Jimi Hendrix
147,spotify:artist:1B5MGDIt38Z6cUdghq8SaV,Cool Maritime
148,spotify:artist:4LC4vkseYrSEDd6MjZvOO9,Lucrecia Dalt
149,spotify:artist:3KjYnDT3cEQ8ngiCLTCIl9,Peanut Butter Wolf
150,spotify:artist:5UDDnXpPNuL91XxNJLX47f,Chris Bell
151,spotify:artist:6Uhp7WA6sjm5ZL6Xz561de,Living Colour
152,spotify:artist:5wnhqlZzXIq8aO9awQO2ND,Coldcut
153,spotify:artist:0UeVJTdCWGEFSSO9Tg9tiH,Sacred Reich
154,spotify:artist:1fpXM23IoNckJ7NDAm8YJQ,Mark Lanegan
155,spotify:artist:7jAeRfT8LYCxydM2Y1Egvn,Marc Ribot
156,spotify:artist:0XTSrpKEUhzQ5aiYswppxh,Hieroglyphics
157,spotify:artist:6O4EGCCb6DoIiR6B1QCQgp,Toro y Moi
158,spotify:artist:7pCGLXLzwdujGNOSvZrDq8,Frank Bretschneider
159,spotify:artist:2FsVA4kCeWeuzhll2D8HtT,Recoil
160,spotify:artist:4ReGayOtLkcAsNi6d2n7LS,Snooks Eaglin
161,spotify:artist:4AIo9dEYhuS3AtwhhKgA0M,The Teardrop Explodes
162,spotify:artist:5LfGQac0EIXyAN8aUwmNAQ,The Offspring
163,spotify:artist:7v78lEL8XMOgWod6Cp5Jya,Koushik
164,spotify:artist:4KcfVqbyF0i3AvrnSmloU0,Glenn Tipton
165,spotify:artist:5EYkvHZuGM3pwU3DZUrrZ3,Big Black
166,spotify:artist:0WkypWGtWi9gAlB6aIKESl,The Danse Society
167,spotify:artist:2ipBhKpOYqs6BbysLNGye6,Jean Grae
168,spotify:artist:4MoGkOmfK6oKi1Isc8Iv9m,Bowerbirds
169,spotify:artist:2xLEV2jDreAOcpJXFNoXyt,Hurray For The Riff Raff
170,spotify:artist:09OwM7iXyoFAOzQUlWeDgB,Dismember
171,spotify:artist:5lKZWd6HiSCLfnDGrq9RAm,Leona Lewis
172,spotify:artist:7mjz8GxBSAJtRpzS9tSldf,Guru Guru
173,spotify:artist:7r8RF1tN2A4CiGEplkp1oP,Ginuwine
174,spotify:artist:0sHcfpzKE72Jn6xq8VmMU4,Farben
175,spotify:artist:3RDl7kNfhB72Ojsc2qiyfy,Kindred The Family Soul
176,spotify:artist:20w7d77cK8uJbgV8SDdaIS,Guarneri Quartet
177,spotify:artist:29Oq9Nv8zLgu3IvX1tIpbm,Matt Champion
178,spotify:artist:7ji9U2zsOcJjxpVFJyXV48,Malory
179,spotify:artist:0oJ1V3N4lNXP2TNVS4klmz,Boyd Rice
180,spotify:artist:68DGxDpMWfSsPJEjT4wQnW,Nickelus F
181,spotify:artist:0cGUm45nv7Z6M6qdXYQGTX,Kehlani
182,spotify:artist:58XdW0XyGukvmGatf7NC2R,Frida Hyvönen
183,spotify:artist:3nViOFa3kZW8OMSNOzwr98,Queen Naija
184,spotify:artist:5yUtOYdnxxWdcIoZM1dx68,Bluetech
185,spotify:artist:5L2Y03AcUOXCgvRMTy2Gwq,Keiichi Sokabe
186,spotify:artist:1FZfu8fhVutlQXoW0doDjh,Make A Change... Kill Yourself
187,spotify:artist:1EJ8eUJxtJpSEfN84Eo2Bl,Grayskul
188,spotify:artist:5PYuBRQMHh7nWmdV076sH9,Heaven 17
189,spotify:artist:5AVdeBRaOsTtoXqQFyPVhE,Danny Norbury
190,spotify:artist:5OBJZtgvHxSJZYyQ8T9AoS,Faraquet
191,spotify:artist:6jbuMVAvWgoPxEb1wMglyz,Buck 65
192,spotify:artist:3C4MmUJYQN9svNdedAR2BK,Lisa Gerrard
193,spotify:artist:74ASZWbe4lXaubB36ztrGX,Bob Dylan
194,spotify:artist:6vXTefBL93Dj5IqAWq6OTv,French Montana
195,spotify:artist:3sXErEOw7EmO6Sj7EgjHdU,Hannah Diamond
196,spotify:artist:1CD77o9fbdyQFrHnUPUEsF,Traffic
197,spotify:artist:7t4XHvWfj0XtEB8SNFeALw,Tommy Roe
198,spotify:artist:7g0sTWeRrr9xUiBGOkWBWy,Corona
199,spotify:artist:71jzN72g8qWMCMkWC5p1Z0,Alexandre Desplat
200,spotify:artist:5THaOlI8Qr3Za3FD6FnWvK,John Surman
201,spotify:artist:32LHRiof0sa4taYew9i3Fa,Dinah Washington
202,spotify:artist:5UjqeSp9dX6Nrge7WdDukr,Roni Size
203,spotify:artist:69a2GzMCkrrTrN9iVmP8Ys,Nails
204,spotify:artist:5mNY0NPszdalbrb4ITO3M8,Cluster
205,spotify:artist:6a27jEzxHDgONdmADAGcej,Bowery Electric
206,spotify:artist:4FZ3j1oH43e7cukCALsCwf,Jack White
207,spotify:artist:7ynDETvwFfaLOGPz143R31,O'Bryan
